Date,Cattle_q_mpd,Beef_p_cwt,Cattle_p_cwt_tx,Cattle_p_cwt_ne,Cattle_weightage_tx,Cattle_weightage_ne,Slaughter_processing_c_pd
1-Oct-2016,2211.20000,182.29000,102.8700,101.76000,0.71194,0.28806,0.58000
1-Nov-2016,2240.20000,186.27000,109.4600,106.23000,0.71194,0.28806,0.58000
1-Dec-2016,2173.30000,195.23000,113.2800,115.24000,0.71194,0.28806,0.58000
1-Jan-2017,2119.30000,194.40000,120.4900,119.92000,0.71194,0.28806,0.58000
1-Feb-2017,1933.90000,191.42000,121.6200,121.83000,0.71194,0.28806,0.58000
1-Mar-2017,2249.70000,216.36000,126.6700,126.91000,0.71194,0.28806,0.58000
1-Apr-2017,1963.10000,213.78000,131.8000,131.18000,0.71194,0.28806,0.58000
1-May-2017,2163.40000,243.43000,135.5800,138.42000,0.71194,0.28806,0.58000
1-Jun-2017,2280.30000,244.16000,131.0800,130.10000,0.71194,0.28806,0.58000
1-Jul-2017,2107.90000,212.22000,118.5900,118.08000,0.71194,0.28806,0.58000
1-Aug-2017,2402.10000,197.48000,112.0300,113.01000,0.71194,0.28806,0.58000
1-Sep-2017,2225.60000,192.79000,107.2000,107.73000,0.71194,0.28806,0.58000
1-Oct-2017,2303.00000,198.65000,111.9800,113.40000,0.71194,0.28806,0.58000
1-Nov-2017,2290.60000,209.08000,121.3900,122.49000,0.71194,0.28806,0.58000
1-Dec-2017,2148.40000,203.09000,119.7700,119.73000,0.71194,0.28806,0.58000
1-Jan-2018,2279.00000,207.94000,123.3700,124.35000,0.71194,0.28806,0.58000
1-Feb-2018,1983.90000,213.66000,127.9800,127.93000,0.71194,0.28806,0.58000
1-Mar-2018,2203.50000,223.50000,125.6400,124.97000,0.71194,0.28806,0.58000
1-Apr-2018,2117.70000,215.29000,120.2900,121.11000,0.71194,0.28806,0.58000
1-May-2018,2307.00000,229.34000,120.0500,116.14000,0.71194,0.28806,0.58000
1-Jun-2018,2300.90000,221.03000,111.0000,110.10000,0.71194,0.28806,0.58000
1-Jul-2018,2231.60000,206.32000,112.1600,112.39000,0.71194,0.28806,0.58000
1-Aug-2018,2429.60000,209.15000,111.2900,109.98000,0.71194,0.28806,0.58000
1-Sep-2018,2157.50000,206.07000,110.2900,110.69000,0.71194,0.28806,0.58000
1-Oct-2018,2430.60000,208.18000,113.3200,111.53000,0.71194,0.28806,0.58000
1-Nov-2018,2315.10000,214.59000,116.0400,115.28000,0.71194,0.28806,0.58000
1-Dec-2018,2116.00000,213.60000,120.3200,120.34000,0.71194,0.28806,0.58000
1-Jan-2019,2309.60000,215.03000,123.6400,123.28000,0.71194,0.28806,0.58000
1-Feb-2019,1987.10000,217.81000,124.3800,124.66000,0.71194,0.28806,0.58000
1-Mar-2019,2117.10000,227.45000,127.1900,127.51000,0.71194,0.28806,0.58000
1-Apr-2019,2261.70000,230.30000,125.1000,125.82000,0.71194,0.28806,0.58000
1-May-2019,2328.00000,223.61000,115.8600,118.03000,0.71194,0.28806,0.58000
1-Jun-2019,2227.10000,221.28000,111.5000,113.08000,0.71194,0.28806,0.58000
1-Jul-2019,2360.70000,214.81000,110.4200,112.99000,0.71194,0.28806,0.58000
1-Aug-2019,2373.40000,230.17000,106.6600,111.13000,0.71194,0.28806,0.58000
1-Sep-2019,2188.60000,221.35000,99.6700,103.30000,0.71194,0.28806,0.58000
1-Oct-2019,2439.30000,219.70000,108.9200,109.80000,0.71194,0.28806,0.58000
1-Nov-2019,2296.90000,235.53000,N/A,115.96000,0.71194,0.28806,0.58000
1-Dec-2019,2265.10000,217.24000,N/A,120.20000,0.71194,0.28806,0.58000
1-Jan-2020,2388.40000,211.87000,N/A,123.86000,0.71194,0.28806,0.58000
1-Feb-2020,2131.30000,207.60000,118.5400,117.31000,0.71194,0.28806,0.58000
1-Mar-2020,2411.20000,228.05000,112.3000,111.06000,0.71194,0.28806,0.31000
1-Apr-2020,1817.30000,241.94000,103.6700,105.18000,0.71194,0.28806,0.31000
1-May-2020,1865.60000,405.80000,107.4300,103.14000,0.71194,0.28806,0.31000
1-Jun-2020,2375.70000,242.31000,103.6000,99.98000,0.71194,0.28806,0.57000
1-Jul-2020,2423.20000,203.24000,95.3300,97.72000,0.71194,0.28806,0.57000
1-Aug-2020,2335.60000,216.71000,103.3600,105.51000,0.71194,0.28806,0.57000
1-Sep-2020,2356.50000,220.56000,104.0500,103.28000,0.71194,0.28806,0.57000
1-Oct-2020,2474.20000,212.41000,107.1700,106.36000,0.71194,0.28806,0.57000
1-Nov-2020,2267.30000,228.00000,109.8500,109.39000,0.71194,0.28806,0.57000
1-Dec-2020,2327.40000,217.82000,110.1200,110.00000,0.71194,0.28806,0.57000
1-Jan-2021,2309.10000,216.73000,110.9500,109.84000,0.71194,0.28806,0.57000
1-Feb-2021,2105.50000,236.49000,113.9700,114.00000,0.71194,0.28806,0.57000
1-Mar-2021,2480.60000,231.23000,114.1600,114.71000,0.71194,0.28806,0.57000
1-Apr-2021,2346.30000,271.67000,119.7400,121.67000,0.71194,0.28806,0.57000
1-May-2021,2210.90000,317.59000,118.2300,118.00000,0.71194,0.28806,0.57000
1-Jun-2021,2399.40000,329.70000,120.2300,121.98000,0.71194,0.28806,0.57000
1-Jul-2021,2318.80000,273.40000,118.7000,123.03000,0.71194,0.28806,0.57000
1-Aug-2021,2360.00000,321.67000,121.3500,124.31000,0.71194,0.28806,0.57000
